Index,Field Name,Field Type,Fixture Key,Has Value,Status
107,"Zip",PDFTextField,notes,True,PASS
108,"Listing Broker Firm",PDFTextField,listing_broker_firm,True,PASS
109,"License No_4",PDFTextField,notes,True,PASS
110,"License No_5",PDFTextField,notes,True,PASS
111,"Listing Associates Email Address",PDFTextField,listing_agent_email,True,PASS
112,"Phone_3",PDFTextField,listing_agent_phone,True,PASS
113,"Licensed Supervisor of Listing Associate",PDFTextField,notes,True,PASS
114,"License No_6",PDFTextField,notes,True,PASS
115,"Listing Brokers Office Address",PDFTextField,listing_broker_firm,True,PASS
116,"Phone_4",PDFTextField,listing_agent_phone,True,PASS
117,"City_2",PDFTextField,city,True,PASS
118,"State_2",PDFTextField,notes,True,PASS
119,"Zip_2",PDFTextField,notes,True,PASS
120,"License No_7",PDFTextField,notes,True,PASS
121,"Selling Associates Email Address",PDFTextField,selling_agent_email,True,PASS
122,"Phone_5",PDFTextField,listing_agent_phone,True,PASS
123,"Licensed Supervisor of Selling Associate",PDFTextField,notes,True,PASS
124,"License No_8",PDFTextField,notes,True,PASS
125,"Selling Associates Office Address",PDFTextField,selling_agent_phone,True,PASS
126,"City_3",PDFTextField,city,True,PASS
127,"State_3",PDFTextField,notes,True,PASS
128,"EXECUTED the",PDFTextField,effective_date,True,PASS
129,"Signature11",PDFSignature,notes,True,PASS
130,"day of",PDFTextField,notes,True,PASS
131,"20_2",PDFTextField,notes,True,PASS
132,"Signature8",PDFSignature,notes,True,PASS
133,"Signature10",PDFSignature,notes,True,PASS
134,"Signature9",PDFSignature,notes,True,PASS
135,"Third Party Financing Addendum",PDFCheckBox,notes,True,PASS
136,"Seller Financing Addendum",PDFCheckBox,seller_names,True,PASS
137,"Environmental Assessment Threatened or",PDFCheckBox,addendum_environmental,True,PASS
138,"Addendum for Property Subject to",PDFCheckBox,notes,True,PASS
139,"Sellers Temporary Residential Lease",PDFCheckBox,addendum_sellers_lease,True,PASS
140,"Short Sale Addendum",PDFCheckBox,addendum_short_sale,True,PASS
141,"Buyers Temporary Residential Lease",PDFCheckBox,addendum_buyers_lease,True,PASS
